,occured,reported,posted,location,text
44,4/30/2017 02:00,4/29/2017 6:30:23 PM 18:30,5/6/2017,"Oxford (UK/England), ",8 lights going spinning in big circles. Very hard to get a footage as its mostly only vidible to the eyes not video camera.  Got few photos.  Very interesting. It kept on rotating in the same way for hours.
45,4/30/2017 01:45,5/1/2017 6:07:46 AM 06:07,5/6/2017,"Mansfield, MA",huge green bright light circleI work overnight uber driver on duty without passenger on I-95 north (highway).  I saw huge green bright light drop down as faster then forward to zoom become disappeared.
46,4/30/2017 01:23,4/30/2017 12:40:40 AM 00:40,5/6/2017,"Wentzville, MO","Watching TV when saw first flash.  Power slowly faded out. Looked outside, saw whole sky flash bright green.  Neighborhood outage.."
47,4/29/2017 23:40,4/29/2017 10:08:45 PM 22:08,5/6/2017,"Eden Prairie, MN","Circle of lights shining through the clouds just south of Eden Prairie, MNJust south of Eden Prairie, a large circle comprised of about 14-18 lights shining through the clouds (whitish, bluish). No noise. No movement. Still looking at it as I type.Never been on this site before, but googled it when I saw this.((NUFORC Note:  Advertising lights at a casino.  Source of the report elects to remain anonymous; provides no contact information.  PD))"
48,4/29/2017 23:20,4/29/2017 11:26:05 PM 23:26,5/6/2017,"Minneapolis, MN",12 glowing lights in sky circle shaped did not move stayed in position was south Minneapolis a lot of witnesses.((NUFORC Note:  Ring of stationary advertising lights at local casino.  PD))
49,4/29/2017 23:00,4/30/2017 1:28:58 PM 13:28,5/6/2017,"Newport, MI","Bright white flashingWe were driving back to Detroit from Ohio, and along 75 north, a bright white light appeared in the West skies..  It got slightly bigger as it seemed to get closer to the ground. It lit up the cloud and tunrded it bright white, where it then looked like a disk.  After it did that it seemed to have literally just dissapeared.  A few seconds of still watching the sky in shock, it appeared again and it got closer, had pushed thru the clouds, and appeared to have blinking lights of some kind.  Literally it shot off after about 3 minutes of it moving thru the sky"
50,4/29/2017 23:00,5/1/2017 10:16:15 AM 10:16,5/6/2017,"Athabasca (Canada), AB","Saucer shape with 4 windows, not clear about the colorIt was night, but my wife saw the UFO.  It was very close to and above us because she saw the 4 windows and structure of the UFO.  According to her description, it was hanging over and left after she saw it.  The evening was dark, so it was not very easy to see it in the sky.Even I did not see, but from her face and eyes, I know she really saw something."
51,4/29/2017 22:35,4/30/2017 4:50:39 PM 16:50,5/6/2017,"Edina, MN",Strange circle lights in the skyCircle strange lights in the sky. We were coming back from a movie and saw this when we entered our parking area. We stopped the car took some pics as we have never seen such things before.((NUFORC Note:  Ring of stationary advertising lights at local casino.  PD))
52,4/29/2017 22:00,4/29/2017 10:17:01 PM 22:17,5/6/2017,"Eden Prairie, MN","Glowing cloud ring Eden Prairie, MN.Ring of bright lights in clear sky. No moon visible, no light source other than emitted from each orb in the circle.  Looked like glowing clouds but did not dissipate  Remained still for the hour I observed it. 10:00-11:00 p.m. 94/29/2017.  Sky south of eden prairie mn Photo with house is near duck lake road and eden prairie high school.((NUFORC Note:  Ring of stationary advertising lights at local casino.  PD))"
53,4/29/2017 22:00,5/1/2017 1:30:04 PM 13:30,5/6/2017,"Medford, OR","Hovering multicolored object over MedfordWatching the meteor shower, I noticed an extremely, twinkly object in the Eastern sky.  I grabbed my binoculars to get a closer look and saw an object that I thought was stationary until it moved.  It was changing colors; red, blue, green, purple, yellow and orange but in no pattern that I noticed.  I went to get my kids so they could view it but they were asleep.  As I watched it, it took off northbound."
54,4/29/2017 21:30,4/29/2017 10:28:46 PM 22:28,5/6/2017,"Sacramento, CA","Driving on 99 south through Sacramento around 9:30 pm seen 2 orange round objects dancing/flying together.  Other cars slowed down to look, too."
55,4/29/2017 21:00,4/30/2017 3:27:48 PM 15:27,5/6/2017,"Chambersburg, PA","2 larger than planet size bell/saucer shapes with bright amber/white light emitting from each hovered briefly then vanished.My wife and i were travelling east on Route 30 east of Chambersburg, PA, on Saturday 4/29/2017.  My wife suddenly told me to pull over on the road because there were two objects in the sky in the proximity of a waxing crescent moon phase.  I have seen UFO objects twice in my lifetime before this at least 40 plus years ago.  We both looked at the objects while we were facing the west.  The two objects appeared to be larger than a planet, saucer/bell shapes in the sky, both were bright with an amber to white hue cast sort of pulsing as they stood at rest in the sky.  I had hoped that they would continue to get closer coming eastward to get a better look at them, but after about a minute, the one on the right began to slowly vanish followed by the one on the left then slowly vanishing.  There was a slight overcast with very high altitude cloud cover with some clearing.  When the objects vanished out of sight, it appeared as though they exited our atmosphere very quickly ! almost straight up and out.  Back in the early 1970's when i saw my first UFO, it occured in broad daylight, and actually had time to get my telescope out (50X) and sight in on it, before it quickly raced across the sky many times the speed of a modern military jet aircraft, and vanished as well.  I understand from my reading that the USA government does in fact have secret propulsion technology at Area #51 and has had it for years, continuing to unveil this high technology into military uses today.  I would not be surprised that the two UFO's we sighted on 4/29/2017 were engineered by our own government.  It is very exciting to see these objects, because it doesn't happen but once or so in a lifetime.  This is my third sighting in 43 years.  Now i must look at the skies every night.  My cell phone camera is too cheap, it would not have showed up well, but to be honest i just wanted to see these UFO's with my eyes.  My wife was a witness to this sighting as well, but she really did not want to take the time to write her own version of the sighting.  It was quick,,,about a minute.  My wife and I own a local painting company."
56,4/29/2017 20:53,5/5/2017 9:07:45 AM 09:07,5/6/2017,"Las Vegas, NV",Triangular formation of 3 Damond shaped craft with cente craft moving neurotically in multiple directions.3 rounded-diamond shaped craft flew over Caesars Palace in a triangular formation.  They flew quickly (not out of this world fast but quite fast) with the center craft neurotically moving side-to-side and in multiple directions within the formation at a very instantaneous speed.  Very short viewing of the crafts.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))
57,4/29/2017 20:30,4/30/2017 10:25:47 AM 10:25,5/6/2017,"Woods Hole, MA","A wedge shaped formation of lights silently passed overhead where lights in the formation switched position before fading from sight.A colleague and myself were sitting on a dock, off of Water St near the Oceanographic institute, facing Nonamesset Island, when my colleague directed my attention to the evening sky.We observed an array of rectangular lights (6-8 lights), producing dim but discernable light with a slightly yellowed tone, arranged in a wedge or flying-V formation. The formation of lights, no more than 200ft off the ground, silently passed overhead moving Northeast. Importantly, the lights seemed to deliberately dip and bob without breaking formation, suggesting they are indeed units comprising a larger array.The formation moved over Water St until it was visible over the Rowe Laboratory.  Interestingly, while moving, the lights adjacent to the trailing terminal lights on either end of the “V” gracefully switched positions.  The formation stopped after this and faded out of sight.  It is worth mentioning that our line of sight with the formation was never interrupted, and we did not observe it flying away: we observed it until it simply faded from view above the Rowe Laboratory.We, the two observers, are developmental biologists who traveled to Woods Hole to attend a regional conference."
58,4/29/2017 20:10,4/30/2017 9:36:30 AM 09:36,5/6/2017,"Coconut Creek, FL","Very white, bright circular light, perfectly still.  Approximately 40-50 feet in the air.  Lasted 45 minutes and suddenly vanished.I was on our patio watching a movie on my laptop, when I noticed a  bright white appear over the trees on the other side of the lake.  I thought it was just an airliner taking off.  Not giving it any more thought I continued to watch the movie.  A few minutes later I glanced over to where I saw the light and noticed it was still there.  It was bigger and brighter than before.I stopped the video so that I could observe this light.  It didn’t move at all. It was hard to make out the shape, but if I had to guess I would say that it was circular.  The light was to high and to bright to be a street light and the moon was crescent shaped and pale yellow.  I got my cellphone and took a photo of it.  About 30 minutes later, it was gone.  I was watching it and it just disappeared."
59,4/29/2017 19:05,5/2/2017 10:33:30 AM 10:33,5/6/2017,"Fords, NJ","CAPSULE SHAPED CRAFT RAPIDLY DESCENDS INTO WAREHOUSE PARK.Here's a quick report of a Capsule shaped craft I viewed, while sitting at the local laundromat, waiting for the clothes to dry.  Glanced out the window and to the northeast over Rte. 1 at approx. 7:05 pm EDT.  Observed an object in a steep dive (70 degrees) at a high rate of speed, no wings or engines visible and shaped like a TYLENOL aspirin capsule shape with flat sides....hard to guess size but  would say it was size of a minivan ....object continued its path, and I lost sight of it behind the strip mall across the highway...... BRILLIANT white in color and had a FUZZY APPEARANCE around the bottom edge.........if it continued on this path is would have taken it to an industrial warehouse park approx SE 5 miles away and is near the river and pretty much desolate on the weekend.THANKS"
60,4/29/2017 15:00,5/2/2017 4:26:58 PM 16:26,5/6/2017,"Anniston, AL","Like a big oil drum, white on the sides and silver in the center, hovering over downtown Anniston.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
61,4/29/2017 11:30,4/29/2017 11:56:25 PM 23:56,5/6/2017,"Excelsior, MN",Looks like a big circle made up with dotted lights facing downwards.
62,4/29/2017,4/29/2017 4:05:30 AM 04:05,5/6/2017,"Sturgeon Bay, WI","Red orange orb, appearing the size of a basketball, flew over my house and yard at approximately 50 feet height, 01:45 am.  Traveled in a straight line that was visible for 45. sec.."
63,4/28/2017 22:00,4/28/2017 9:44:39 PM 21:44,5/6/2017,"Demotte, IN","I was on HWY,10, heading west towards Demotte.  I red ball started slowing moving towards the earth in the sky ahead of me.  As I watched this ball of light slowly move, another yellow orange light appeared on its right side, my left.  This light slowly went towards the red ball, and it almost exploded into a wide smiley face mouth with looking to be lights on it.  When the other light went towards this light it looked like it left a trail of red. It glowed orange yellow and red now with looking to be lights.  I stopped at a near by friends at this point and three other witnesses there also seen the smiley face mouth in the sky on 1100 N.  All four of us watched it for approximately 10 minutes in the West, slightly North sky an object.  It appeared in a different area from what I could tell at that point.  Not sure.  It appeared then disappeared.  Until it descended completely still glowing orange yellow and red, bellow the tree lines with no visible lights on it then.  Maybe landing."
64,4/28/2017 21:00,4/29/2017 9:39:28 AM 09:39,5/6/2017,"Olympia, WA","Two straight lines of light in the starless night sky, about 5 lights each.  First red, others white.  Stationary. No stars out.Over Sylvester Park. Cloud cover, no stars out.  Straight line of lights, First on left reddish other lights white. Two similar, about as high as most large planes.  Not moving. About as long as my straight index finger in size when I held my finger up to measure.Watched on and off for half an hour.  Told someone else I know who also saw the one on left I pointed out to her.  She wasn't all that interested, commented, ""They must be looking at us, observing all here in the Park"".  A large event in Olympia.""  Procession of the Species"" the evening light event.  This wasn't something projected into the night sky, I stopped watching on and off to watch the parade and left.  Don't know how long the two straight lines of light lasted. Very bizarre.  Like Orions belt but closer together.  I was tempted to ask others what they thought of the objects, but only asked someone I knew to look at it.I didn't think to try and photograph the two objects.  I've lived in the medical field all my life.  Only saw UFO objects back in the mid fifties as a teen with a boyfriend.  A fleet of craft came into view, flew across the sky, and vanished, as if into a slot.  Both of us saw the same objects."
65,4/28/2017 21:00,4/29/2017 12:54:18 AM 00:54,5/6/2017,"Burl County, NJ","Bright flashing light moving great distance in under a second in south NJ.I was at a friend's house sitting on his front porch busy street busy area.  Talking about random stuff video games, etc..  He was like hey look at that, I'm like what ... look right there he pointed out a weird flashing object kind of strobish and similar to a plane flash but much brighter.  I said that's a plane he said no look how it's moving.  From where we were sitting he had a telephone pole to our right on an angle so we eyed it up with the pole to see which way it's moving if it even is moving and sure enough a couple of seconds after we did that it started moving.In between the bright flashes, within a mili second of each one, we saw it in one spot then wam it was at least 1,000 yards (from our eyes, could be miles in the sky) but away from its original position.  We had a hard time keeping up with it in between flashes and moving irradic from left to right up And down.  Nothing that a plane helicopter or drone in today's world that's known to the public can move with such speed and agility.  Literally between its flashes, which was absolutely in under a second, it was in a totally different spot far away from the last position.  We watched do this for at least 15-20 minutes moving around.  Then it started moving a little farther away from us south east direction but still very visible with the flashes so bright.  But now it would flash then go dark completely no lights and show up in a totally different spot then it was like before.  We knew by then it wasn't a normal  plane especially because there are a bunch of planes flying in the sky and you see their regular flashes .So we were asking ourselves how do these planes not see see this and move out the way or change course, but the way this thing was moving, it couldn't be near them at the speed in which it moved.  Then, after a minute or so of it going dark, a flashing, then dark again, moving to different spots.  It started flashing and rising up and just hovered while flashing.  Then lit up solid blue or white kind of like a floodlight, but nothing projecting down like you see with other common flood lights or search lights on commercial equipment, it just lit up whatever this thing was.  And for the way it reflected off the object it had to be a light colored object (white light with grey object projects a blueish color).It was fully lit up for about a good 25 seconds went completely dark again then within a mili second we saw the flash of it farther away from where it was lit up which is farther away from where we were.  So more south central south east .  The only thing out that way that it could be as high as it was a project that bright of a light is fort dix combined base  no other airports or private places for such a thing in that direction then fort dix joint base. And in that direction depending on which part of the base is a given 30 to 80 miles away from us.  So that thing was bright .After it headed farther away and disappeared me and my friend went to go get food took about 10 minutes or a little over got back to his house sat on the porch ate an we were still talking about it we never seen anything like it definitely unexplainable when all of sudden we saw it again back in the same area where it was before moving all over and flashing but did not light up solid or hover.  Just kept flashing then went dark and it was gone.  We sat outside for another 20 minutes looking at the sky, never saw it again or anything like it, just saw your normal plane passing by .It was truly amazing how it moved liked that in a blink of an eye.  A night to remember never saw anything like this here before hopefully someone else saw this too and didn't blow it off as a plane it was anything, but I know the area very well and seen everything from regular helicopters to police helis, blackhawks  An your military crafts fly by all the time with lights on and off day and night  just as common as your regular plane and you can hear these far away aswell as a very lit up landscape from homes ect so to be that bright to outshine everything else wow .  . This thing had no sound and moved like no other craft known to the public could truly remarkable experience I will never forget.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
66,4/28/2017 20:18,4/29/2017 5:56:36 PM 17:56,5/6/2017,"Franklin Park, IL","This was no airplaneWe stepped out on our deck to smoke a cigarette, and I noticed this red light in the sky is was coming from the north and heading south it was moving very fast my husband yelled for me to get my camera and I recorded what we saw at first there were like 6 or 7 of them and they would slow down and disappear in the clouds and then a few seconds later another one was coming moving very fast and then another one this lasted about 13 or 14 minutes I took some videos and post them on Facebook to see if anybody else saw this I watched the news and I didn't hear nothing and friend told me to repot it to a ufo web site these were no airplane as I live close to the airport airplanes make a lot of noise there was no noise it was quiet the also had a red glow to them I really don't know what they were but I figured it wouldn't hurt to find out."
67,4/28/2017 10:30,4/28/2017 2:48:05 PM 14:48,5/6/2017,"New Brunswick, NJ","Shiny, silver disk witnessed high in sky above highway I-287 in New Jersey.On my drive home early from my job as a senior research laboratory technician on I-287 South in New Jersey, I caught a glimpse of a shiny metallic object in the sky.  The sky was crystal clear blue with not a single cloud in sight.  At first I dismissed it as a plane, but with longer examination I realized it was a slim, nearly-flat silver disk with no vapor trail.  It appeared to slowly hover to the South, then in seconds, it swiftly changed direction and zipped off to the East and completely vanished.  I noticed other drivers had slowed and were looking and pointing at the same region of the sky where I witnessed the craft."
68,4/28/2017 05:45,4/28/2017 8:50:23 PM 20:50,5/6/2017,"Germantown, MD","Aprox 05:45 on April 28 2017 I witnessed a single, bright, star like object in the southern sky of Germantown, MD.At approximately 05:45 on April 28, 2017, I witnessed a single bright star like object in the southern sky of Germantown, MD.  The Sky was dark and had absolutely no stars or planets visible.  Just this single stationary bright round object.  It never once moved on any plane.  It was too high to be a helicopter and displayed no aircraft characteristics.  I picked up a passenger and 5 minutes into their trip (I am UBER driver) we both required the object.  Being I was driving I could not keep an eye on it.  After dropping passenger off, I could not re-aquire the object.  I am wondering if it was Space Station?  Only object I can think of.  I am surprised no other reports seemed to have surfaced."
69,4/28/2017 01:00,4/29/2017 12:09:14 AM 00:09,5/6/2017,"Garden City, ID",Saw a bright orange fireball moving from west to east in the sky.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))
70,4/28/2017 01:00,4/30/2017 10:15:24 AM 10:15,5/6/2017,"Temple hills, MD","Orange object cruises past home near Andrew's AFBWhile sitting on my front porch talking with my nephew, I looked to the right of my porch overhand and saw a glowing orange object floating over the tree line.  It looked odd as if to paulsate.  I looked to see if there were any navigational lights and could see none.  I immediately called to my nephew to come see as the object cruzed past the house heeding northwest.  There is a military base near to my house, (Andrews Airforce Base).   As the object flew near that direction, the orange light went out and we could still see the the silliwet of the object which was now black without distinct form at the distance.  The object made no sound as it cruised by and eventually faded from sight.  My nephew thinks it was some new military technology.  I believe it was not of this world.  I have seen other objects such as see through cigar shape objects flying as low as street lights, making no sound at all with others there to witness this event also.  Many times they are fl! ying towards the military base and lights go out as they pass over it.  This event on the 28th of April, was the first time I've seen the orange ball.  At the time of this sighting, the sky's were clear and the object appeared to be within a few thousand feet from my house and approximately 5-6 hundred feet in the air.((NUFORC Note:  Witness elects to remain anonymous; provides no contact information.  The date above is flawed, so we have amended it, but we are unsure whether the alleged sighting occurred on the morning of April 28th, or 29th, but we have no means for contacting the source to confirm the correct date.  PD))"
71,4/27/2017 22:00,4/30/2017 7:05:31 PM 19:05,5/6/2017,"West Bend, WI","Driving north on I-45, I saw an object hovering in the sky with three or more very bright white lights.  The object was slowly moving diagonally while hovering in the same place.  It rose above the clouds and the bright lights still shined rays through the clouds, but suddenly dimmed down and the object vanished.((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
72,4/27/2017 18:30,5/2/2017 8:27:21 PM 20:27,5/6/2017,"West Kelowna (Canada), BC","several glowing orbs &quot;dancing&quot; in the skyOn Thursday April 27, 2017, at approximately 7:30 pm, in West Kelowna, British Columbia, I was travelling home with my 3 daughters.  My 6 year old daughter said, “Daddy, what are those flashing lights in the sky?”  I was travelling in the southwest direction and I looked up to my left and I noticed several (approximatley 6) flashing lights up in the sky that appeared to flashing and what I would describe as dancing in the sky.  At first I wasn't sure what to make of them.  I thought they were some sort of flares or even military aircraft doing some sort of exercise.  But since I live in the Okanagan valley and there is no Air Force bases in the area, I knew they were not any of conventional military aircraft.  The objects that I was observing were absolutely silent.  Given the way these object were moving in the sky, I then realized that what I was witnessing was not a normal or easily explainable occurrence and was most likely Extra-terrestrial in nature.I quickly pulled off to the side of the road and grabbed my phoned\, got out of my vehicle to start video recording the lights.  That's when I noticed a second group of (approximatley 4 or 5) that suddenly appeared below the first group.  They looked like they were flying closer to Okanogan Lake, before the flew upward to join the first group.  The two groups formed two separate formations and proceeded to fly eastward towards Kelowna.  I had my camera zoomed in and locked on both groups and continued to record them as they were flying away.  Or so I thought.  After approximately 20-30 seconds of “recording”, I realized that I didn’t actually hit the record button on my phone.  I quickly hit the record button and was able to zoom in on the luminous objects as they were flying away.  I was able to record the lights, (which were flying in two groups, one approximately 6, the other approximately 4) for about 30 seconds until they essentially were out of sight.Important points:  although it was early evening and the sun was starting to set, there was still plenty of daylight outside.  These objects were extremely bright in sky the objects appeared to be well below the clouds when I first noticed them as well as below the tops of the mountains.  The second group of lights appeared to be flying lower in the valley near the lake although it did not occur to me at first but what I witnessed I would describe as orange glowing orbs, since I did not observe any sort of metallic craft with any visible lines.  Only lights."
73,4/27/2017 11:00,4/29/2017 4:31:43 PM 16:31,5/6/2017,"Tulsa, OK","looked like 2 kitesOn April 27th, 2017, around 11am, I was heading to work, I was on a city bus 306 when 2 objects cought my eye at the east they looked like kite`s with a tail attached to it, at first so i did not think anything of it but one of the objects was at a standstill and did not move the other object would orbit around it.  They seem pretty far away and up in the sky i say around 10,000 feet.  I tryed to take a picture but it did not show in the picture by the time i got off the bus 5 minutes later the objects where not in site."
74,4/26/2017 20:00,4/29/2017 11:38:15 PM 23:38,5/6/2017,"Indian Reservation on way to Barona Casino, CA","Hovering long skinny aircraft with lights underneath and multiple witnessesMy Fiancé and I were on our way to Barona Casino Wednesday night.  We saw a low hovering (what we assumed was a plane at first) aircraft in the sky in front of us/in the direction we were heading but to the right (South of us).  It did not seem to be moving at first.  It had three lights on the underneath: two were a greenish tint and one was more of a regular white/yellow color turning on and off at random times slowly.  The one turning on and off seemed to move around like it was on a rotator.  All of the sudden, after we both acknowledged we saw it and started questioning what it was, it started to move East over the road very very slowly.  I had my window down and it made only a quiet sound. Then, on the tip of the 'wings' two more lights lit up (two on each end).  They were brighter than the three lights in the underneath middle of the craft.  We thought it was a very large drone after trying to rationalize.  It was a long skinny rectangle shape, but I saw no blades or anything.  If it was, it was a drone that was 15-20 feet or more. It was terrifying and my fiancé and I are very logical.  We asked the Indian man who picked us up in a golf cart to take us from the parking lot to the front if he knew of any drones the Indians had, and he acted concerned and said he did not.  He said the head Indians may have something like that for protection, but I honestly thought it had to be military.  Honestly, it looked like a multimillion dollar military aircraft with incredible mind blowing technology.  I was stunned and can not stop thinking about it!  I could not even get myself to take my eyes off it long enough to grab my phone in fear it would disappear.  People around us were slowing down to see it as well.((NUFORC Note:  Source of the report provides no contact information.  PD))"
75,4/26/2017 02:00,5/5/2017 1:18:58 AM 01:18,5/6/2017,"Cape Coral, FL","Two of us sitting by the pool.  Talking about the divine way in which we met!  When instantly, something appears far out and slowly shoots across the sky!  It was about 2:12 AM..  It didn't go up or down, it shot straight over head.  But at a slow enough pace to see for a moment!  It was huge!  Unlike nothing ever seen b4!  It had 5 circle bright white lights in the front!  They were perfect white.  One cirlce in the middle and 4 around it.  Then a blue thin layer behind with what followed was a stream of orange light that was together at the end.   So it starts as a circle of lights, followed by an orange tail that pointed.  All together like an ice cream cone shape!  Silent!  It was beautiful and gave a warm fuzzy feeling!  I instantly heard the verse, and the holy Spirit descended upon them and said, ""this is my son with whom I am well pleased ""!!  I haven't found it elsewhere online.  Also a piece appeared to break off and for a sec there was two of it!  Amazing!  Usually, I feel fear when I've seen the weird stuff in the sky.  Not this one!  Plus the wierd trumpet noises I heard the next day... Doesn't take a genius!!!((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
76,4/25/2017 22:27,5/2/2017 1:31:39 AM 01:31,5/6/2017,"Nicassio, CA","I was driving a long open road in the country farm land.  Without coming into sight from my peripheral, approximately 100 yards in front of me, and approximately 35-40 yards directly above the road, a bright orb with the consistency of a flame appeared.  It had a dark green outer ring and light green/white center.  It floated for only a moment, before it moved across the road into a neighboring ranch and disappeared.  Its movement was quick and smooth, like a falling basketball dropping from the top of its arc."
77,4/21/2017 22:23,4/29/2017 9:35:56 PM 21:35,5/6/2017,"Brandon, FL","Large white Orb being tailed by Fighter Jet.On the reported date and time. I was sitting on my back porch,facing west when I heard what I believed to be a helicopter coming from the south east direction.I then witnessed what appeared to be a warm white orb from behind the tree line.Then I saw what appeared to be and sounded like a fighter jet tailing the white orb.Once the jet appeared the buffeting sound of a ""helicopter"" went mute.All that was heard was the fighter jet.I watched both the UFO and the aircraft travel across the sky from southeast to northwest.I recorded as much of much of the event as I could.The video clearly shows the white orb traveling with no air craft beacons or physical fuselage,compared to the dark fighter jet with its red beacons activated.I sent the video via text to my younger brother and fiance.My brother posted the video to his twitter account around 23:00 directly after the event.By the very next morning, his tweet was deleted.  And every evidence of the post and video was deleted from his iPhone.I still have the original video on my iPhone and will send upon any request!  The goose bumps and the immense adrenaline rush is unforgettable."
78,4/20/2017 20:07,5/1/2017 1:09:13 PM 13:09,5/6/2017,"Columbia, MO","MISSOURI INVESTIGATORS GROUP:  B. Becker. UFOMIG@yahoo.com. Part 2: Still wondering what we had just seen go down by Hinkson Creek, but driven by the need for ice cream, we continued to Andy’s and queued up at the drive-up window.  It had only been about 5 minutes since the first observation.  I was looking west; the sun was setting, when I saw a quickly moving object traveling from the northwest to the southeast.  It appeared silverish and spherical.  It was either quite high or very small.  Then I saw another object which seemed to be trying to overtake the first one, and another one and another one, 6 in all, following the first one.  Of course my first thought was helicopters but we did not hear any kind of mechanical sound.  It finally occurred to me to use my cell phone and try to get a picture.  All I got was small dots, but they are there.  The time was 8:07.  Interestingly a helicopter did fly over to Boone Hospital and it was easily seen and heard of course! it was landing.As an addendum to this report, a friend, who lives in Salem, Missouri, “was entering Columbia on 63 Hwy and saw a white glowing object between 500 and 1000 feet in altitude going over the Femme Bonne Creek.  Estimated speed was 40 mph.  This was on April 6, 2017.  It was traveling south.”"
79,4/20/2017 19:55,5/1/2017 12:48:37 PM 12:48,5/6/2017,"Columbia, MO","MISSOURI INVESTIGATORS GROUP: B. Becker. UFOMIG@yahoo.com.  Part 1: The first observation was a little before 8PM on 4/20/2017.  My husband, who was driving, and I, were traveling east on East Broadway.  We were between Broadway Bluffs and Trimble when I noticed something very low in the sky in front of the car.  It appeared pale blue in color, almost sky color, about the size of a pea at arm’s length, maybe slightly larger.  It was on the passenger side of the car, so I had a good view of it, it seemed to be spherical.  I did not see any appendages, it appeared very smooth.  We stopped at the light at Trimble to make a left turn which gave me time to watch it.  (My husband watched in the rearview mirror.  He confirms my observations.)  At this point I’m thinking it must be a balloon.  It stayed at about the same height and distance from the road as it flew west over Green Valley Drive.  It was approaching a tall stand of trees at Hinkson Creek when it paused in midair and rapidly descended diagonally out of sight.  Ok, not a balloon.  Maybe it was a drone?  About 35 minutes later we went to the area where we had seen it go down; very secluded for being in a city.  Hinkson Creek is at the end of Green Valley Drive, which turns south and becomes Moon Valley Road.  Open fields and trees."
80,4/16/2017 22:30,5/3/2017 10:54:55 PM 22:54,5/6/2017,"Big Timber, MT","Lighter then lightWhile sitting in  a campground, I looked to the sky and the Big Dipper was present and a satellite passed between the end of the handle of the Big Dipper and to the left of the handle a few seconds later, I thought was another satellite but then it slowed at a slow speed and stopped sats don't do that and it was a little bit dimmer as a star which in middle of no outside lights caught my attention then a plane flew by then it slowly moved and another slightly simular light came in from the right of the handle of the Big Dipper came in so from the the handle to the second star of the Big Dipper they faced off and at that time another plane passed by and yet another almost lighter star merged and dimmed  and about and then a meteor with a white ghostish surrounded it which came in from the Dipper down towards the handle then u turned towards the Dipper  it looked like a sperm with a really short tail"
81,4/15/2017 20:00,4/30/2017 4:54:24 PM 16:54,5/6/2017,"Lawrenceville, GA","I live a few miles from a small airport so I see alot of planes day an night,  I was outside smoking a cigarette an looked up at this plane (no big deal) then it made a complete right angle turn at triple its current speed, then imiditley returned to its normal speed at this direction,  this was not a spotlight or anything like that it was a craft and I never seen anything like that((NUFORC Note:  Source of the report elects to remain anonymous; provides no contact information.  PD))"
82,4/9/2017 22:30,5/5/2017 3:03:17 PM 15:03,5/6/2017,"Clyde, NC","We first saw the object towards the Northwest.  It would move side to side, up and down and then disappear  for about 30 seconds then would show back up.  After doing this for 20 minutes or so it moved quickly above us.  You could see lights inside but no noise and then it sped off and was just gone.((ADDENDUM FROM WITNESS))Peter,It looked to be 1/10th the size of the moon.  It was oval in shape.  Not perfectly round though if that makes sense.  Because of its side to side movements and being stationary for minutes, I that it might be a helicopter.  I was in the Army and was Air-Assault, so I have sling loaded and have ridden in many helicopters, so I soon realized that's not what it was.  It was about 6000 feet in the air at first and it took off over our home and slowed to almost a full stop.  It was higher in elevation as it went above my home but you could see the outline.  It was kinda round and you could see a light around it coming from the inside.  Like a revolving lit restaurant looking from outside of it.  It actually started scaring me when I realized it had no sound coming from it.  It moved slow but then quickly.  Faster than a plane can fly.  The lights were a smoky white light coming from inside.  You could just see a hazy light at farther distance.  Clear when it was close.  There were no flashing lights on it.  I hope this helps as this was the first time seeing something like this.((END ADDENDUM))"
83,4/8/2017 09:51,5/1/2017 6:08:11 AM 06:08,5/6/2017,"Albany, GA","Alien or Angel cloud in Albany GA.My experience with this cloud was out of this world.  Personally I had been going through some things.  Defeated and heartbroken something said look out the window.  Unaware of the beautiful present the awaited me outside, I looked out the window and was immediately mesmerized.  The cloud had 2 contrails coming from it, my first reaction was is something going to crash?  Once I noticed the this was not a cloud and something was going on I grabbed my phone and snapped two photos.  Other than the contrails the cloud kinda just floated away,  I called my family and told them I had experienced something very unusual, and I wanted to share my photo with the world.  Something was watching me in my backyard and I don't know what it was!((NUFORC Note:  Photos of what appear to us to be contrails.  PD))"
